predicate ID	Name	count	LinkNet+CCE+Rank	LinkNet+CE	MotifNet+CE	MotifNet+CCE+Rank	KERN	LinkNet+Focal	KERN+CCE+Rank
1	above	47341	21.302	14.769	13.901	21.347	19.368	16.548	11.57
2	across	1996	6.349	0	0	9.5238	7.936	4.7619	0
3	against	3092	4.032	0	0	12.097	6.451	2.4194	3.2258
4	along	3624	11.621	0	0	12.997	0.917	0.91743	34.404
5	and	3477	12.525	1.1834	0.5917	20.907	7.3964	2.6627	4.6351
6	at	9903	34.086	37.775	27.678	40.922	37.343	25.923	64.096
7	attached to	10190	3.6238	0.23585	0	4.373	0.4717	0.31447	2.3349
8	behind	41356	57.004	63.75	61.261	52.997	62.441	58.542	61.127
9	belonging to	3288	2.1501	0	0	2.5227	0	0	0.15924
10	between	3411	5.9028	0.69444	0	7.6389	2.0833	1.3889	3.4722
11	carrying	5213	49.666	19.395	23.638	32.632	35.815	28.142	27.468
12	covered in	2312	25.06	15.262	8.8333	26.036	16.333	19.845	44.94
13	covering	3806	10.43	0	0	13.824	4.1935	4.086	7.9386
14	eating	4688	43.477	45.9	18.322	36.034	43.418	43.661	25.546
15	flying in	1973	15.351	0	0	0	0	0	0
16	for	9145	16.764	5.1366	1.9126	14.502	8.415	6.3427	15.633
17	from	2945	7.9812	4.2254	0	7.0423	2.8169	2.8169	2.8169
18	growing on	1853	1.7241	0	0	0.57471	1.7241	0	9.4397
19	hanging from	9894	15.156	2.988	0.1992	19.007	5.3785	7.5697	30.42
20	has	277936	73.263	82.503	82.522	81.455	81.326	81.039	71.812
21	holding	42722	54.647	71.666	68.743	57.109	70.113	58.267	62.83
22	in	251756	41.818	38.017	34.317	39.233	37.961	38.015	29.859
23	in front of	13715	20.746	8.2287	13.559	18.74	14.005	14.36	27.715
24	laying on	3739	11.329	0.45045	0	10.173	4.6547	13.281	27.117
25	looking at	3083	20.457	7.3867	7.8648	13.679	9.0075	7.2289	9.8527
26	lying on	1869	5.6122	0	0	2.0408	0	0	1.6698
27	made of	2380	9.375	0	0	6.25	3.125	0	0
28	mounted on	2253	0	0	0	1.3889	0	0	0
29	near	96589	34.851	51.347	39.583	33.375	45.581	45.057	11.178
30	of	146339	63.082	64.014	57.575	68.881	63.794	64.3	47.118
31	on	712409	60.556	82.862	85.178	67.878	80.885	76.785	62.421
32	on back of	1914	2.8369	0	0	4.2553	0	0.70922	15.248
33	over	9317	15.818	14.428	4.9628	12.221	10.67	12.159	12.12
34	painted on	3095	3.0378	0	0	3.4483	0	0	4.3103
35	parked on	2721	56.077	0	0	18.09	0.5681	0.5618	27.313
36	part of	2065	0	0	0	0.46269	0	0	0.72016
37	playing	3810	6.8182	0	0	9.0909	0	4.5455	0
38	riding	8856	56.179	30.76	12.248	42.829	39.679	26.738	79.787
39	says	2241	8.333	0	0	0	0	0	8.333
40	sitting on	18643	39.205	27.65	25.636	30.979	28.584	27.332	5.4061
41	standing on	14185	15.422	1.6629	0.57509	14.177	2.2902	4.0025	22.478
42	to	2517	19.467	0	0	7.7869	0	2.459	16.393
43	under	22596	36.222	37.342	34.601	35.971	41.146	38.371	14.55
44	using	1925	21.625	20.792	8.1458	16.187	18.458	22.062	24.869
45	walking in	1740	3.4272	0	0	0.70423	0	2.1127	3.5211
46	walking on	4613	46.605	6.2735	0.69705	16.863	11.13	20.793	24.934
47	watching	3490	30.839	31.909	30.654	31.86	29.594	24.763	35.923
48	wearing	136099	92.964	97.89	96.735	85.686	97.071	96.488	82.506
49	wears	15457	0.06912	0	0	1.9622	0	0.04158	16.111
50	with	66425	16.2	6.8625	5.8971	6.6589	6.645	9.9297	11.848

